id,created_at,updated_at,message_uuid,payment_type,item_amount,item_uuid,org_id,item_quantity,item_description
781a6507-3708-494d-a3ae-7f6679444c81,2022-04-28 03:58:00.385666+00,2022-04-28 03:58:00.385666+00,b31a8ffe-1e3e-5d9f-8b01-4c68d2b0fb29,Expense,70,1c07aad1-61a5-44ec-a79f-87a98db1a8a8,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
fd21b990-9d9a-4306-a71a-932572bc9995,2022-04-28 04:00:20.02825+00,2022-04-28 04:00:20.02825+00,210871ce-e0b2-5e11-b0b2-7011d59d9cb2,Income,2000,ddbbe37d-30bb-4958-8cd9-e10833a15e89,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
37dc0b8f-ccaa-40a0-bc81-54a9dd2ea56b,2022-04-28 04:01:33.578159+00,2022-04-28 04:01:33.578159+00,c5a28f8c-126f-5d6f-b722-547c60d7637e,Income,600,d950bd42-3b07-46ff-9e89-db8d72864cfd,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
cc3914e8-3ee0-4fc7-8555-730330dde9e5,2022-04-28 04:02:31.812984+00,2022-04-28 04:02:31.812984+00,b14018d8-bb76-54b2-8ddf-ce90e6440c0a,Expense,20,1c07aad1-61a5-44ec-a79f-87a98db1a8a8,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
e99293fa-e0fd-4d1e-84f7-10f40b193fcb,2022-04-28 04:05:19.615803+00,2022-04-28 04:05:19.615803+00,0b256c8e-e9e6-5c62-b54b-173e820918ed,Expense,20,1c07aad1-61a5-44ec-a79f-87a98db1a8a8,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
b9f684ca-9918-46bb-9c7c-73d0a990a48a,2022-04-28 16:54:07.123216+00,2022-04-28 16:54:07.123216+00,b8c1e5c4-14f4-5403-b385-0e556c4a7bd6,Expense,20,1c07aad1-61a5-44ec-a79f-87a98db1a8a8,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
56e30b0e-c72d-4009-b3d4-895886894d45,2022-04-28 16:58:21.862263+00,2022-04-28 16:58:21.862263+00,34acf28b-72db-58bd-9c75-79b36b2c454f,Income,1900,6f44e620-ec74-4da4-8d1c-e1ceb51a435a,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
542bd38a-a9d9-4451-92b9-56a8ca53d7c5,2022-04-28 16:59:04.439235+00,2022-04-28 16:59:04.439235+00,2794935d-70bf-5b16-8733-4abad3f3b7e9,Income,1750,6edf3e7a-4a5b-4d9e-ab2b-46013fa7c61c,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
b1417d92-af61-4c36-b608-8be7b27f6c54,2022-05-04 07:56:44.923023+00,2022-05-04 07:56:44.923023+00,3e610f43-7225-578a-a21a-c93c304864d1,Income,10000,5cc98b76-1fb5-4fab-af04-805b185613b7,dd4b9e53-5827-451c-81f1-e1821f33a49d,1,
0798cd30-fe92-41bd-834c-8d2caef0e824,2022-05-04 07:57:17.267919+00,2022-05-04 07:57:17.267919+00,838c7bce-906f-5139-a9db-a4afd412d297,Income,1000,5cc98b76-1fb5-4fab-af04-805b185613b7,dd4b9e53-5827-451c-81f1-e1821f33a49d,1,
39ee14de-3660-4653-aa04-64174b69cce0,2022-05-04 07:57:36.968278+00,2022-05-04 07:57:36.968278+00,01d5b674-109a-5206-8c0f-f4ccf35913c4,Income,7000,5cc98b76-1fb5-4fab-af04-805b185613b7,dd4b9e53-5827-451c-81f1-e1821f33a49d,1,
d0473c85-f287-4792-b19f-9eeec0293054,2022-05-04 07:57:56.05588+00,2022-05-04 07:57:56.05588+00,947e68c8-24cb-5daf-b7bc-2904e65e3d35,Income,9000,5cc98b76-1fb5-4fab-af04-805b185613b7,dd4b9e53-5827-451c-81f1-e1821f33a49d,1,
083ecbb1-5b13-4058-9f2c-d5e37e138e63,2022-05-06 04:32:05.903475+00,2022-05-06 04:32:05.903475+00,3e3768cb-24c2-50c6-bb67-0395ffe9c167,Expense,20,1c07aad1-61a5-44ec-a79f-87a98db1a8a8,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
d407017b-69ed-41c0-91eb-51f3a6c9a3ec,2022-05-06 04:32:27.736357+00,2022-05-06 04:32:27.736357+00,cb2a12af-f17f-5ee7-a4bf-3a2a1cfeacb7,Expense,20,1c07aad1-61a5-44ec-a79f-87a98db1a8a8,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
98b00972-fbd7-4326-ae08-f36dc555cfc1,2022-06-09 17:29:34.780667+00,2022-06-09 17:29:34.780667+00,5ca700d8-6255-5d8f-bf58-4332efd303ab,Expense,6,6bd6a2e7-7161-45fc-bedc-3099fd836489,0381d614-e844-464e-a029-ceb3d0e11287,5,
56b781c6-49bf-463a-a405-15d34a86f9d8,2022-06-09 17:30:31.587687+00,2022-06-09 17:30:31.587687+00,97446916-6c6a-5d85-aa88-f06a0f4de26e,Income,50,e28ed45c-d58d-4c5e-8c7c-c19b909eb1b6,0381d614-e844-464e-a029-ceb3d0e11287,4,
485dfcea-d50d-4854-921b-6d58bcad1a9e,2022-06-10 03:50:51.197491+00,2022-06-10 03:50:51.197491+00,3fad639d-bb3a-5c2b-b338-5ca3282cede3,Income,1500,fac3afc3-f3c9-4622-90df-2ba8d78f2708,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
655b850e-f70b-4681-a337-86db3de5a655,2022-06-10 03:50:51.204173+00,2022-06-10 03:50:51.204173+00,3fad639d-bb3a-5c2b-b338-5ca3282cede3,Income,100,4d24e49a-94df-45eb-9b13-f3e0b9f8fc84,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
5f07e2bd-3a5d-4194-9201-3437cc5e42c4,2022-06-10 03:56:32.322428+00,2022-06-10 03:56:32.322428+00,c9bb2e63-5ca0-5578-a141-b500d518a0ff,Expense,150,71d0c0fc-7557-493c-979f-3485e90ee30f,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
d822cb7c-592a-47e9-ae84-01a1a2c567a4,2022-06-10 03:58:04.394774+00,2022-06-10 03:58:04.394774+00,227df5fc-0a51-574d-a2a1-d56a8ba0a9be,Expense,173,ab9b9b13-c103-46ea-8219-f201a97946c6,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
300315ba-3a15-4aee-9e83-0952c6b1d6b9,2022-06-10 03:58:46.565309+00,2022-06-10 03:58:46.565309+00,69c09153-7e31-5d00-9d4c-3e984d696b7a,Expense,200,ab9b9b13-c103-46ea-8219-f201a97946c6,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
10cac523-1b08-43db-98df-a075f1bfa04b,2022-06-10 03:59:51.565172+00,2022-06-10 03:59:51.565172+00,67877d9c-1b03-5117-9a70-d52307c5af41,Income,500,fac3afc3-f3c9-4622-90df-2ba8d78f2708,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
fa79e73e-f2ef-4939-bcec-d743ba50b5e7,2022-06-10 04:01:14.34006+00,2022-06-10 04:01:14.34006+00,1838f069-fe1a-57c2-93e6-8eb5b45dfbdd,Expense,150,71d0c0fc-7557-493c-979f-3485e90ee30f,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
2cda8c03-56e7-4715-a1b8-537f09c7b361,2022-06-10 15:17:55.908897+00,2022-06-10 15:17:55.908897+00,382e5594-d14c-5729-afcf-ba3787d06e38,Income,3000,fac3afc3-f3c9-4622-90df-2ba8d78f2708,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
67e8ada3-dbd7-41fb-b2a9-0393efa23b60,2022-06-10 15:26:33.638132+00,2022-06-10 15:26:33.638132+00,39bb9316-eab2-520b-9d15-a63c9048afd3,Expense,200,8c320210-1bff-4569-8355-d9dcaeeb7deb,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
f75e3491-bbd6-41d1-81cf-76275f576ad7,2022-06-10 15:26:53.984848+00,2022-06-10 15:26:53.984848+00,c3d0a80b-a2b3-57fd-befb-bad916c01df6,Income,800,4d24e49a-94df-45eb-9b13-f3e0b9f8fc84,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
d956f874-bc85-4901-bbcc-652c4349b0c0,2022-06-18 18:42:02.644169+00,2022-06-18 18:42:02.644169+00,b6c0d7c6-0d81-51ac-82b2-180721e4602f,Income,400,fac3afc3-f3c9-4622-90df-2ba8d78f2708,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
938fc134-f48d-4d46-a2dd-bd1efc4b0778,2022-06-19 12:03:56.684605+00,2022-06-19 12:03:56.684605+00,d1b28c05-64ea-5689-8a6c-339e639011bc,Income,800,fac3afc3-f3c9-4622-90df-2ba8d78f2708,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
